resultId;raceId;driverId;constructorId;grid;position
363;35;22;11;15;15
364;35;16;10;20;16
365;35;6;3;16;17
366;35;21;10;19;18
367;35;12;4;11;0
368;35;14;9;14;0
369;36;8;6;1;1
370;36;4;1;2;2
371;36;1;1;4;3
372;36;2;2;3;4
373;36;21;4;6;5
374;36;13;6;22;6
375;36;3;3;12;7
376;36;23;7;9;8
377;36;15;7;8;9
378;36;5;4;13;10
379;36;22;11;16;11
380;36;11;8;10;12
381;36;17;9;7;13
382;36;24;5;19;14
383;36;18;11;14;15
384;36;19;8;11;16
385;36;16;12;20;17
386;36;25;3;15;0
387;36;14;9;18;0
388;36;9;2;5;0
389;36;26;5;17;0
390;36;27;12;21;0
391;37;4;1;2;1
392;37;1;1;4;2
393;37;8;6;3;3
394;37;2;2;5;4
395;37;13;6;1;5
396;37;21;4;12;6
397;37;15;7;8;7
398;37;5;4;11;8
399;37;25;3;19;9
400;37;17;9;10;10
401;37;22;11;22;11
402;37;18;11;15;12
403;37;11;8;14;13
404;37;26;5;17;14
405;37;23;7;9;15
406;37;19;8;18;16
407;37;24;5;16;17
408;37;9;2;7;18
409;37;3;3;6;0
410;37;14;9;13;0
411;37;27;12;20;0
412;37;16;12;21;0
413;38;13;6;1;1
414;38;1;1;2;2
415;38;8;6;3;3
416;38;2;2;5;4
417;38;4;1;4;5
418;38;9;2;6;6
419;38;15;7;9;7
420;38;21;4;7;8
421;38;5;4;12;9
422;38;3;3;10;10
423;38;25;3;11;11
424;38;23;7;14;12
425;38;22;11;15;13
426;38;27;12;22;14
427;38;16;12;20;15
428;38;19;8;13;16
429;38;17;9;8;0
430;38;14;9;21;0
431;38;11;8;17;0
432;38;24;5;18;0
433;38;18;11;16;0
434;38;26;5;19;0
435;39;13;6;1;1
436;39;1;1;4;2
437;39;4;1;2;3
438;39;9;2;5;4
439;39;14;9;9;5
440;39;3;3;11;6
441;39;5;4;8;7
442;39;11;8;13;8
443;39;21;4;10;9
444;39;22;11;12;10
445;39;19;8;15;11
446;39;18;11;14;12
447;39;16;12;20;13
448;39;27;12;21;14
449;39;2;2;7;0
450;39;23;7;17;0
451;39;24;5;16;0
